titel,name,email,zugang,quelle,status,link
Fachpraktiker*in Floristik,Mariaberger Ausbildung & Service gemeinnützige GmbH,beruflichebildung@mariaberg.de,keine Angabe,bildungsanbieter,not sent,https://www.mariaberg.de/ausbildung-duales-studium
Erwerb von Grundkompetenzen - IT-Kompetenz (Microsoft Word - Textverarbeitung und Microsoft PowerPoint - Präsentationen),TERTIA Berufsförderung GmbH & Co. KG,info@tertia.de,"<p>Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für eine Teilnahme nicht erforderlich. Um unser Angebot individuell auf Ihre Bedürfnisse zuschneiden zu können, führen wir mit Ihnen vorab ein persönliches Beratungsgespräch. Ausnahmeregelungen erfolgen in Abstimmung mit dem Jobcenter bzw. der Arbeitsagentur oder der optierenden Kommune.</p>",bildungsanbieter,not sent,https://www.viona.online/kursdetail/s-2368-j?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=S-2368-J-5_TERTIA
Grundkompetenzen: Mathematik 1,TERTIA Berufsförderung GmbH & Co. KG,schnittstelle@tertia.de,keine Angabe,bildungsanbieter,not sent,https://www.tertia.de/tobi_grundkompetenzen/
Prüfungsvorbereitung Fachkraft für Gastronomie (IHK),cpi consulting + training GmbH,anfrage@cpi.de,"<ul><li> Abgeschlossene Ausbildung oder ein Studium bzw. ein abgebrochenes Hochschulstudium oder ausreichende Berufserfahrung.</li><li> Sichere Deutschkenntnisse in Wort und Schrift.</li><li> Grundkenntnisse in Englisch und EDV sind von Vorteil.</li><li> Ein internes Auswahlverfahren in Form eines Fachgesprächs ist mit dem Ergebnis ""gut geeignet"" zu bestehen.</li></ul><p>Darüber hinaus gelten die Zugangsvoraussetzungen des Kostenträgers. Ausnahmen können in Absprache mit der cpi consulting + training GmbH und dem Kostenträger vereinbart werden.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand des Lebenslaufs, vorgelegter Zeugnisse und Zertifikate oder durch eine Eignungsfeststellung im Rahmen eines ausführlichen Fachgesprächs überprüft.</p>",bildungsanbieter,not sent,https://www.cpi.de/gastgewerbe-service/pruefungsvorbereitung-fachkraft-gastronomie-ihk/?utm_campaign=weiterbildung&utm_source=kursnet
Erwerb von Grundkompetenzen,IBB Institut für Berufliche Bildung Harz GmbH,info@ibb-harz.de,<p>An der Maßnahme können Teilnehmer mit unterschiedlichen Zugangsvoraussetzungen teilnehmen. Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für die Teilnahme an der Maßnahme nicht erforderlich. <br/>Ausnahmeregelungen erfolgen in Abstimmung mit dem JC/der Arbeitsagentur oder der optierenden Kommune. Grundlegende Deutschsprachkenntnisse (Niveau A2 GER) werden vorausgesetzt.</p>,bildungsanbieter,not sent,https://www.ibb-harz.de/weiterbildung/virtuelle-akademie/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=S-2370-6#/kurs-fuer-arbeitssuchende/S-2370-6
Immobilienkaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-immobilienkaufmann-immobilienkauffrau/?utm_campaign=weiterbildung&utm_source=kursnet
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Textverarbeitung und Einführung in die Buchführung",BVH Gesellschaft für angewandte Bildung und Sozialforschung mbH,viona@bvh-karriere.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p>,bildungsanbieter,not sent,https://bvh-karriere.de/bildungsangebote/weiterbildung_umschulung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4042-1#/kurs-fuer-arbeitssuchende/ZU-K-4042-1
Industriekaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-industriekauffrau-industriekaufmann/?utm_campaign=weiterbildung&utm_source=kursnet
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Sprachfestigung auf Englisch A2/ B1-Niveau",Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Sprachniveau B1.1.</p>,bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-S-4045-1
"Betreuungskraft nach §§ 43b, 53b SGB XI mit Zusatzqualifikation Demenz verstehen",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Teilnehmende sollten soziale Kompetenz, Empathie-Fähigkeit, hohe Belastbarkeit sowie Wahrnehmungsfähigkeit und Beobachtungsgabe aufweisen. Sie müssen sich in einem mindestens fünftägigen Praktikum VOR Beginn des Kurses erproben. Hierbei finden Sie heraus, ob Ihnen die Arbeit mit demenzerkrankten, körperlich beeinträchtigten oder geistig behinderten Menschen Freude bereitet. Computer-Kenntnisse sind unbedingt sicherzustellen. Die Deutschkenntnisse sollten sich auf muttersprachlichem Niveau bewegen (mind. Niveau B2 - ggf. Einstufungstest).</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/Z-P-7120?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=Z-P-7120
Vorbereitung auf eine Mediengestalter-Umschulung - Schwerpunkt: Tools in der Mediengestaltung - Intensiv,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,"<p>Besondere Teilnahmevoraussetzungen sind nicht nötig, da die konkreten Inhalte und Schwerpunkte individuell auf jeden Teilnehmer, seinen Bedarf und seine Vorkenntnisse abgestimmt werden.</p>",bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-X-4410-1
Nachprüfungsvorbereitung Teil II der Umschulung Kaufmann/-frau im E-Commerce,WBS TRAINING SE,info@wbstraining.de,<p>Die Zulassungsvoraussetzungen für die Abschlussprüfung müssen erfüllt sein (z. B. durch Absolvieren des Praktikums und Lerninhalte der AO).</p>,bildungsanbieter,not sent,https://www.wbstraining.de/kn/nachpruefung-teil-ii-umschulung-ecommerce/
"Betreuungskraft nach §§ 43b, 53b SGB XI mit Zusatzqualifikationen Ethik und Umgang mit psychischen Belastungen",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Sie müssen sich in einem mindestens fünftägigen Praktikum VOR Beginn des Kurses erproben. Hier sollen Sie als Interessent herausfinden, ob Ihnen die Arbeit mit demenzerkrankten, körperlich beeinträchtigten oder geistig behinderten Menschen Freude bereitet. Gute sprachliche Verständigung in Deutsch sowie PC-Grundkenntnisse sollten Sie mitbringen.</p><br/><br/><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/Z-P-2949-2?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=Z-P-2949-2
"Kauffrau, Kaufmann für Spedition- und Logistikdienstleistung - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-spedition-logistikdienstleistung/?utm_campaign=weiterbildung&utm_source=kursnet
Vorbereitungskurs auf eine medieninformationstechnische Umschulung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Mindestens Hauptschulabschluss oder vergleichbaren Schulabschluss.</li><li> Interesse für den IT oder medieninformationstechnischen Bereich.</li><li> Deutsch in Wort und Schrift.</li><li> Grundlegende PC-Kenntnisse.</li><li> Ein internes Auswahlverfahren im Rahmen eines Fachgespräches ist mit ""gut geeignet"" zu bestehen.</li></ul><p>Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers, Ausnahmen sind in Absprache mit dem COMCAVE.COLLEGE® und dem Kostenträger möglich.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand von Lebenslauf, Zeugnissen und Zertifikaten, bzw. einer Eignungsfeststellung im Rahmen eines ausführlichen persönlichen Fachgespräches geprüft.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitung-umschulung-weiterbildung-it-bereich/?utm_campaign=weiterbildung&utm_source=kursnet
Orientierungsphase für IT-Berufe - Vorbereitung auf eine Umschulung im IT-Bereich oder eine IT-Weiterbildung,Akademie Überlingen,kursnet-management@a-ue.de,<ul><li>gute Sprachkenntnisse in Deutsch in Wort und Schrift </li><li>grundlegende EDV-Kenntnisse </li><li>Affinität für den IT-Bereich</li></ul>,bildungsanbieter,not sent,https://www.akademie-ueberlingen.de/kurs-basisdaten/orientierungsphase-fuer-it-berufe-vorbereitung-auf-eine-umschulung-im-it-bereich-oder-eine-it-weiterbildung/?mtm_campaign=Kursnet&mtm_kwd=Digital-Akademie
Erwerb von Grundkompetenzen - Grundwissen Mathematik (Grundrechenarten & Bruchrechnung),IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>An der Maßnahme können Teilnehmer mit unterschiedlichen Zugangsvoraussetzungen teilnehmen. Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für die Teilnahme an der Maßnahme nicht erforderlich.<br/>Ausnahmeregelungen erfolgen in Abstimmung mit dem JC/der Arbeitsagentur oder der optierenden Kommune. Grundlegende Deutschsprachkenntnisse (Niveau A2 GER) werden vorausgesetzt.</p><br/><br/><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/S-2368-A-6?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=S-2368-A-6
Erwerb von Grundkompetenzen mit begleitenden Einzelcoaching (Powerkurs),Softdoor GmbH,info@iasmed.de,<ul><li>mind. B1 Deutschkenntnisse</li><li>Leistungsbezug SGB II oder SGB III</li></ul>,bildungsanbieter,not sent,http://www.softdoor.de
Vorkurs für Blinde,BFW Düren gGmbH Zentrum für berufliche Bildung Blinder und Sehbehinderter,info@bfw.dueren.de,keine Angabe,bildungsanbieter,not sent,
Maßnahme zum Erwerb von Grundkompetenzen mit Englisch,WBS TRAINING SE,info@wbstraining.de,"<p>An dieser Maßnahme zum Erwerb von Grundkompetenzen können Sie teilnehmen, wenn Sie einen anerkannten Berufsabschluss anstreben und sich auf die entsprechende Umschulung vorbereiten möchten, indem Sie grundlegende Kenntnisse absichern.</p>",bildungsanbieter,not sent,https://www.wbstraining.de/kn/erwerb-grundkompetenzen-varianten/
"Alltagsbegleiter - Betreuungskraft nach §§ 43b, 53b SGB XI",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Abgeschlossene Ausbildung im relevanten Bereich oder ein Studium bzw. ein abgebrochenes Hochschulstudium oder ausreichende Berufserfahrung</li><li> Deutsch in Wort und Schrift</li><li> Grundlegende EDV-Kenntnisse</li><li> Grundkenntnisse in Englisch wünschenswert, aber nicht zwingend erforderlich</li><li> Ein internes Auswahlverfahren im Rahmen eines Fachgespräches ist mit ""gut geeignet"" zu bestehen</li></ul><p>Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers, Ausnahmen sind in Absprache mit dem COMCAVE.COLLEGE® und dem Kostenträger möglich.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand von Lebenslauf, Zeugnissen und Zertifikaten, bzw. einer Eignungsfeststellung im Rahmen eines ausführlichen persönlichen Fachgespräches geprüft.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/alltagsbetreuer-betreuungskraft-nach-paragraf-43b-53b-sgb-xi/?utm_campaign=weiterbildung&utm_source=kursnet
Nachprüfungsvorbereitung Teil II der Umschulung Fachinformatiker Anwendungsentwicklung (w/m/d),WBS TRAINING SE,info@wbstraining.de,<p>Die Zulassungsvoraussetzungen für die Abschlussprüfung müssen erfüllt sein (z. B. durch Absolvieren des Praktikums und Lerninhalte der AO).</p>,bildungsanbieter,not sent,https://www.wbstraining.de/kn/nachpruefung-ii-umschulung-fachinformatiker/
"Kauffrau, Kaufmann für Groß- und Außenhandelsmanagement (Großhandel) - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-gross-aussenhandelsmanagement-grosshandel/?utm_campaign=weiterbildung&utm_source=kursnet
"Mediengestalter Digital und Print - Vorbereitung auf die IHK-Prüfung, Fachrichtung Designkonzeption",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-mediengestalter-designkonzeption/?utm_campaign=weiterbildung&utm_source=kursnet
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV-Grundlagen und Textverarbeitung",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B.2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/ZU-K-4046-1?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=ZU-K-4046-1
Vorbereitung auf eine IT-Umschulung - mit einem wesentlichen FIAE-Hauptfach,IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2 und Englisch B1.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/ZU-E-4006-1?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=ZU-E-4006-1
Elektrogerätefachkraft,DON BOSCO SACHSEN,info@donbosco-sachsen.de,keine Angabe,bildungsanbieter,not sent,
Fachinformatiker Daten- und Prozessanalyse - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-fachinformatiker-daten-prozessanalyse/?utm_campaign=weiterbildung&utm_source=kursnet
Sport- und Fitnesskaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-sport-fitnesskauffrau-fitnesskaufmann/?utm_campaign=weiterbildung&utm_source=kursnet
Grundkompetenzen für den Beruf,faw Dessau,dessau@faw.de,<p>- ausreichendes Sprachniveau (mind. B1)<br/>- grundlegende Fähigkeiten in der Bedienung des PC</p>,bildungsanbieter,not sent,https://www.faw.de/kurs/eca-92535
"Kauffrau, Kaufmann für Groß- und Außenhandelsmanagement (Großhandel) - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-gross-aussenhandelsmanagement-grosshandel/?utm_campaign=weiterbildung&utm_source=kursnet
"Kauffrau, Kaufmann für Spedition- und Logistikdienstleistung - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-spedition-logistikdienstleistung/?utm_campaign=weiterbildung&utm_source=kursnet
